bus,time,powerCB,solarPowToB,gridPowToB,mainPowToB,eB
5,11,0.0,0.0,0.0,0.0,445.5
6,11,0.0,0.0,0.0,0.0,445.5
7,11,0.0,0.0,0.0,0.0,445.5
8,11,0.0,0.0,0.0,0.0,445.5
9,11,0.0,0.0,0.0,0.0,445.5
0,12,0.0,0.0,0.0,0.0,445.5
1,12,0.0,0.0,0.0,0.0,445.5
2,12,0.0,0.0,0.0,0.0,445.5
3,12,0.0,0.0,0.0,0.0,445.5
4,12,0.0,0.0,0.0,0.0,445.5
5,12,0.0,0.0,0.0,0.0,445.5
6,12,0.0,0.0,0.0,0.0,445.5
7,12,0.0,0.0,0.0,0.0,445.5
8,12,0.0,0.0,0.0,0.0,445.5
9,12,0.0,0.0,0.0,0.0,445.5
0,13,0.0,0.0,0.0,0.0,445.5
1,13,0.0,0.0,0.0,0.0,445.5
2,13,0.0,0.0,0.0,0.0,445.5
3,13,0.0,0.0,0.0,0.0,445.5
4,13,0.0,0.0,0.0,0.0,445.5
5,13,0.0,0.0,0.0,0.0,445.5
6,13,0.0,0.0,0.0,0.0,445.5
7,13,0.0,0.0,0.0,0.0,445.5
8,13,0.0,0.0,0.0,0.0,445.5
9,13,0.0,0.0,0.0,0.0,445.5
0,14,0.0,0.0,0.0,0.0,445.5
1,14,0.0,0.0,0.0,0.0,445.5
2,14,0.0,0.0,0.0,0.0,445.5
3,14,0.0,0.0,0.0,0.0,445.5
4,14,0.0,0.0,0.0,0.0,445.5
5,14,0.0,0.0,0.0,0.0,445.5
6,14,0.0,0.0,0.0,0.0,445.5
7,14,0.0,0.0,0.0,0.0,445.5
8,14,0.0,0.0,0.0,0.0,445.5
9,14,0.0,0.0,0.0,0.0,445.5
0,15,0.0,0.0,0.0,0.0,445.5
1,15,0.0,0.0,0.0,0.0,445.5
2,15,0.0,0.0,0.0,0.0,445.5
3,15,0.0,0.0,0.0,0.0,445.5
4,15,0.0,0.0,0.0,0.0,445.5
5,15,0.0,0.0,0.0,0.0,445.5
6,15,0.0,0.0,0.0,0.0,445.5
7,15,0.0,0.0,0.0,0.0,445.5
8,15,0.0,0.0,0.0,0.0,445.5
9,15,0.0,0.0,0.0,0.0,445.5
0,16,0.0,0.0,0.0,0.0,445.5
1,16,0.0,0.0,0.0,0.0,445.5
2,16,0.0,0.0,0.0,0.0,445.5
3,16,0.0,0.0,0.0,0.0,445.5
4,16,0.0,0.0,0.0,0.0,445.5
5,16,0.0,0.0,0.0,0.0,445.5
6,16,0.0,0.0,0.0,0.0,445.5
7,16,0.0,0.0,0.0,0.0,445.5
8,16,0.0,0.0,0.0,0.0,445.5
9,16,0.0,0.0,0.0,0.0,445.5
0,17,0.0,0.0,0.0,0.0,445.5
1,17,0.0,0.0,0.0,0.0,445.5
2,17,0.0,0.0,0.0,0.0,445.5
3,17,0.0,0.0,0.0,0.0,445.5
4,17,0.0,0.0,0.0,0.0,445.5
5,17,0.0,0.0,0.0,0.0,445.5
6,17,0.0,0.0,0.0,0.0,445.5
7,17,0.0,0.0,0.0,0.0,445.5
8,17,0.0,0.0,0.0,0.0,445.5
9,17,0.0,0.0,0.0,0.0,445.5
0,18,0.0,0.0,0.0,0.0,445.5
1,18,0.0,0.0,0.0,0.0,445.5
2,18,0.0,0.0,0.0,0.0,445.5
3,18,0.0,0.0,0.0,0.0,445.5
4,18,0.0,0.0,0.0,0.0,445.5
5,18,0.0,0.0,0.0,0.0,445.5
6,18,0.0,0.0,0.0,0.0,445.5
7,18,0.0,0.0,0.0,0.0,445.5
8,18,0.0,0.0,0.0,0.0,445.5
9,18,0.0,0.0,0.0,0.0,445.5
0,19,0.0,0.0,0.0,0.0,445.5
1,19,0.0,0.0,0.0,0.0,445.5
2,19,0.0,0.0,0.0,0.0,445.5
3,19,0.0,0.0,0.0,0.0,445.5
4,19,0.0,0.0,0.0,0.0,445.5
5,19,0.0,0.0,0.0,0.0,445.5
6,19,0.0,0.0,0.0,0.0,445.5
7,19,0.0,0.0,0.0,0.0,445.5
8,19,0.0,0.0,0.0,0.0,445.5
9,19,0.0,0.0,0.0,0.0,445.5
0,20,0.0,0.0,0.0,0.0,445.5
1,20,0.0,0.0,0.0,0.0,445.5
2,20,0.0,0.0,0.0,0.0,445.5
3,20,0.0,0.0,0.0,0.0,445.5
4,20,0.0,0.0,0.0,0.0,445.5
5,20,0.0,0.0,0.0,0.0,445.5
6,20,0.0,0.0,0.0,0.0,445.5
7,20,0.0,0.0,0.0,0.0,445.5
8,20,0.0,0.0,0.0,0.0,445.5
9,20,0.0,0.0,0.0,0.0,445.5
0,21,0.0,0.0,0.0,0.0,445.5
1,21,0.0,0.0,0.0,0.0,445.5
2,21,0.0,0.0,0.0,0.0,445.5
3,21,0.0,0.0,0.0,0.0,445.5
4,21,0.0,0.0,0.0,0.0,445.5
5,21,0.0,0.0,0.0,0.0,445.5
6,21,0.0,0.0,0.0,0.0,445.5
7,21,0.0,0.0,0.0,0.0,445.5
8,21,0.0,0.0,0.0,0.0,445.5
9,21,0.0,0.0,0.0,0.0,445.5
0,22,0.0,0.0,0.0,0.0,445.5
1,22,0.0,0.0,0.0,0.0,445.5
2,22,0.0,0.0,0.0,0.0,445.5
3,22,0.0,0.0,0.0,0.0,445.5
4,22,0.0,0.0,0.0,0.0,445.5
5,22,0.0,0.0,0.0,0.0,445.5
6,22,0.0,0.0,0.0,0.0,445.5
7,22,0.0,0.0,0.0,0.0,445.5
8,22,0.0,0.0,0.0,0.0,445.5
9,22,0.0,0.0,0.0,0.0,445.5
0,23,0.0,0.0,0.0,0.0,445.5
1,23,0.0,0.0,0.0,0.0,445.5
2,23,0.0,0.0,0.0,0.0,445.5
3,23,0.0,0.0,0.0,0.0,445.5
4,23,0.0,0.0,0.0,0.0,445.5
5,23,0.0,0.0,0.0,0.0,445.5
6,23,0.0,0.0,0.0,0.0,445.5
7,23,0.0,0.0,0.0,0.0,445.5
8,23,0.0,0.0,0.0,0.0,445.5
9,23,0.0,0.0,0.0,0.0,445.5
0,24,0.0,0.0,0.0,0.0,445.5
1,24,0.0,0.0,0.0,0.0,445.5
2,24,0.0,0.0,0.0,0.0,445.5
3,24,0.0,0.0,0.0,0.0,445.5
4,24,0.0,0.0,0.0,0.0,445.5
5,24,0.0,0.0,0.0,0.0,445.5
6,24,0.0,0.0,0.0,0.0,445.5
7,24,0.0,0.0,0.0,0.0,445.5
8,24,0.0,0.0,0.0,0.0,445.5
9,24,0.0,0.0,0.0,0.0,445.5
0,25,0.0,0.0,0.0,0.0,445.5
1,25,0.0,0.0,0.0,0.0,445.5
2,25,0.0,0.0,0.0,0.0,445.5
3,25,0.0,0.0,0.0,0.0,445.5
4,25,0.0,0.0,0.0,0.0,445.5
5,25,0.0,0.0,0.0,0.0,445.5
6,25,0.0,0.0,0.0,0.0,445.5
7,25,0.0,0.0,0.0,0.0,445.5
8,25,0.0,0.0,0.0,0.0,445.5
9,25,0.0,0.0,0.0,0.0,445.5
0,26,0.0,0.0,0.0,0.0,445.5
1,26,0.0,0.0,0.0,0.0,445.5
2,26,0.0,0.0,0.0,0.0,445.5
3,26,0.0,0.0,0.0,0.0,445.5
4,26,0.0,0.0,0.0,0.0,445.5
5,26,0.0,0.0,0.0,0.0,445.5
6,26,0.0,0.0,0.0,0.0,445.5
7,26,16.425116347616573,16.425116347616573,0.0,0.0,445.5
8,26,0.0,0.0,0.0,0.0,445.5
9,26,0.0,0.0,0.0,0.0,445.5
0,27,0.0,0.0,0.0,0.0,445.5
1,27,0.0,0.0,0.0,0.0,445.5
2,27,0.0,0.0,0.0,0.0,445.5
3,27,0.0,0.0,0.0,0.0,445.5
4,27,0.0,0.0,0.0,0.0,445.5
5,27,0.0,0.0,0.0,0.0,445.5
6,27,0.0,0.0,0.0,0.0,445.5
7,27,16.425116347616495,16.425116347616573,0.0,0.0,449.3599023416899
8,27,0.0,0.0,0.0,0.0,445.5
9,27,0.0,0.0,0.0,0.0,445.5
0,28,0.0,0.0,0.0,0.0,445.5
1,28,0.0,0.0,0.0,0.0,445.5
2,28,0.0,0.0,0.0,0.0,445.5
3,28,0.0,0.0,0.0,0.0,445.5
4,28,0.0,0.0,0.0,0.0,445.5
5,28,0.0,0.0,0.0,0.0,445.5
