bus,time,powerCB,gridPowToB,eB,chargerUse
2,34,0.0,0.0,413.6,0.0
3,34,0.0,0.0,198.0,0.0
4,34,0.0,0.0,321.2,0.0
5,34,0.0,0.0,387.2,0.0
0,35,0.0,0.0,360.7999999999999,0.0
1,35,0.0,0.0,268.4,0.0
2,35,0.0,0.0,413.6,0.0
3,35,0.0,0.0,198.0,0.0
4,35,0.0,0.0,321.2,0.0
5,35,0.0,0.0,387.2,0.0
0,36,0.0,0.0,360.7999999999999,0.0
1,36,0.0,0.0,268.4,0.0
2,36,0.0,0.0,413.6,0.0
3,36,0.0,0.0,198.0,0.0
4,36,0.0,0.0,321.2,0.0
5,36,0.0,0.0,387.2,0.0
0,37,0.0,0.0,360.7999999999999,0.0
1,37,0.0,0.0,268.4,0.0
2,37,0.0,0.0,413.6,0.0
3,37,0.0,0.0,198.0,0.0
4,37,0.0,0.0,321.2,0.0
5,37,0.0,0.0,387.2,0.0
0,38,0.0,0.0,360.7999999999999,0.0
1,38,0.0,0.0,268.4,0.0
2,38,0.0,0.0,413.6,0.0
3,38,0.0,0.0,198.0,0.0
4,38,0.0,0.0,321.2,0.0
5,38,0.0,0.0,387.2,0.0
0,39,0.0,0.0,360.7999999999999,0.0
1,39,0.0,0.0,268.4,0.0
2,39,0.0,0.0,413.6,0.0
3,39,0.0,0.0,198.0,0.0
4,39,0.0,0.0,321.2,0.0
5,39,0.0,0.0,387.2,0.0
0,40,0.0,0.0,360.7999999999999,0.0
1,40,0.0,0.0,268.4,0.0
2,40,0.0,0.0,413.6,0.0
3,40,0.0,0.0,198.0,0.0
4,40,0.0,0.0,321.2,0.0
5,40,0.0,0.0,387.2,0.0
0,41,0.0,0.0,360.7999999999999,0.0
1,41,0.0,0.0,268.4,0.0
2,41,0.0,0.0,413.6,0.0
3,41,0.0,0.0,198.0,0.0
4,41,0.0,0.0,321.2,0.0
5,41,0.0,0.0,387.2,0.0
0,42,0.0,0.0,360.7999999999999,0.0
1,42,0.0,0.0,268.4,0.0
2,42,0.0,0.0,413.6,0.0
3,42,0.0,0.0,198.0,0.0
4,42,0.0,0.0,321.2,0.0
5,42,0.0,0.0,387.2,0.0
0,43,0.0,0.0,360.7999999999999,0.0
1,43,0.0,0.0,268.4,0.0
2,43,0.0,0.0,413.6,0.0
3,43,0.0,0.0,198.0,0.0
4,43,0.0,0.0,321.2,0.0
5,43,0.0,0.0,387.2,0.0
0,44,0.0,0.0,360.7999999999999,0.0
1,44,0.0,0.0,268.4,0.0
2,44,0.0,0.0,413.6,0.0
3,44,0.0,0.0,198.0,0.0
4,44,0.0,0.0,321.2,0.0
5,44,0.0,0.0,387.2,0.0
0,45,0.0,0.0,360.7999999999999,0.0
1,45,0.0,0.0,268.4,0.0
2,45,0.0,0.0,413.6,0.0
3,45,0.0,0.0,198.0,0.0
4,45,0.0,0.0,321.2,0.0
5,45,0.0,0.0,387.2,0.0
0,46,0.0,0.0,360.7999999999999,0.0
